Class,Utterance
Nugget,I want to kill myself
Noise,I went to the park today
Nugget,I want to be done
Nugget,I just want to sleep
Nugget,I can't keep doing this
Nugget,I want to be alone
Nugget,If anything happens to me
Nugget,I'm just stressed out
Nugget,I'm having a hard time
Nugget,No one cares
Nugget,I don't care
Nugget,Nobody notices
Nugget,What will heaven be like
Nugget,How much better off I would be if I were dead
Nugget,I should just kill myself
Nugget,I can't imagine living the rest of my life like this
Nugget,I feel so much better
Nugget,"You know I love you, right?"
Nugget,I want to disappear.
Nugget,I'm not feeling good
Nugget,I don't think I'll be at school next week
Nugget,I didn't want to wake up
Nugget,I was having a much better time asleep
Nugget,Nobody cares
Noise,"It took us almost two months to comb through dad’s house, sorting the pieces of his unpursued passions into piles."
Noise,We purged every nook and cranny in the house of unused useful treasures.
Noise,We could sell that
Noise,He bought it at Walmart
Noise,"Dad hadn’t been a bad guy, as far as I remember."
Noise,"It was just that, between the checked boxes of fatherhood, absence was his only constant."
Noise,I’ve made thinking about him an art form.
Noise,I’ve had plenty of time to practice and perfect my craft in the years we’ve been together
Noise,I don’t know how much of this first memory is my own recollection.
Noise,"I wrote and rewrote a text,"
Noise,"Sorry bud, I think you got the wrong number."
Noise,you don’t have to say it back if you’re not ready
Noise,He knows I love him.
Noise,He’d been understanding.
Noise,"So every trip home, I compose a little speech."
