Label,Utterance
1,"""Every robot has a big red button,"" says Dolgov."
1,[Page Six] Guess who's putting sluts and hussies ON BLAST?
1,A quiet house is nice until you are ordered to stay in it for months.
1,A song can make or ruin a person’s day if they let it get to them.
1,Abraham's specialty is population and developmental economics.
1,"After all, Vine is not going to be the last video-sharing app to be built and it certainly won't be the last porn-friendly app to be built either."
1,"After fighting off the alligator, Brian still had to face the anaconda."
1,"Although the organization sent its first missionaries to Israel starting in the spring of 1975, for 25 years, these were only short-term efforts."
0,Andy loved to sleep on a bed of nails.
1,"As the asteroid hurtled toward earth, Becky was upset her dentist appointment had been canceled."
1,"As the years pass by, we all know owners look more and more like their dogs."
1,"As you consider all the possible ways to improve yourself and the world, you notice John Travolta seems fairly unhappy."
1,"At 31, her doctor declared her well on the way to early heart disease -- an all too familiar situation for people in their 30s who have never before worried about high cholesterol or spiking triglycerides."
1,"At this point in 2011, it spent early money to hit Sen."
1,berries in full shade won't get the blush.
1,"But with more money from upstarts being spent earlier, it risks being left behind."
1,"Cats are good pets, for they are clean and are not noisy."
1,Could we have a spoon?
0,cutting myself seems like a good idea
1,Dan took the deep dive down the rabbit hole.
1,"Dempsey’s confidence that women could meet the standards required for combat roles got some support this fall: For the first time in history, women are set to graduate from the infantry training course of the U.S."
1,"Despite the 5,000 or so UN peacekeepers,the country is still unstable.* According to the South Asia Terrorism Portal, more than 11,000Sri Lankan civilians died in 2009 during the final phase of the civil warbetween the Sinhalese government and Tamil Tiger rebel movement."
1,Did you receive the message I sent you yesterday?
1,doesn't hover above history.
1,"Earlene Williams, the founder of Parent Watch, a labor advocacy group keeping tabs on these travelling crews, argues that this does nothing to address the problem."
1,"Even when they acted impeccably, they’re at increased risk of everything from panic attacks to brief breakdowns to full-blown PTSD."
1,"Federal lawyers wrote: [W]e conclude that the total number of registered voters who lack a driver's license or personal identification card issued by DPS could range from 603,892 to 795,955."
0,Fuck you
1,Grossman does a superb job of summarizing the many criticisms that have been leveled at the effort: that the Internet is largely irrelevant to people without running water and basic education;
1,He dreamed of eating green apples with worms.
1,He found his art never progressed when he literally used his sweat and tears.
1,"He set out for a short walk, but now all he could see were mangroves and water were for miles."
1,"He used to get confused between soldiers and shoulders, but as a military man, he now soldiers responsibility."
1,He was replaced as lead prosecutor by Joseph Hartzler.
1,He was surprised that his immense laziness was inspirational to others.
1,His confidence would have bee admirable if it wasn't for his stupidity.
1,"His team creates something that rotates in space, which then has to be surfaced with colors and textures."
0,Hitting others seems right
1,How about this fruit?
0,I ate too many painkillers
1,"I call it the ""least-lousy justification"": My side sucks, but not as much as those other guys."
0,I can't keep doing this
1,I currently have 4 windows open up… and I don’t know why.
1,I hear that Nancy is very pretty.
1,I often see the time 11:11 or 12:34 on clocks.
1,I passed the exam and so did Tom.
1,I purchased a baby clown from the Russian terrorist black market.
1,I'd rather be a bird than a fish.
1,"If you don't like toenails, you probably shouldn't look at your feet."
1,"If you’ve already got an iTunes subscription, a digital subscription, or a print+digital bundle, you can get full access now."
1,Imagine what our economy would look like today if nearly eight in 10 of our high school graduates were engaged -- just as they were in elementary school.
1,"In 2005, an elementary school teacher in Louisiana named Timothy Brannon was accused of molesting multiple female students."
1,"In a lot of ways, the TD dance has—popcorn included—has become a part of the professional game precisely because networks like Costas's NBC tape those celebrations and broadcast them (and replay them) to the nation."
1,"In another video, he describes what it's like to go college on the East Coast."
1,Iron pyrite is the most foolish of all minerals.
1,It has asked for financing models to best harnass the economic power of the missing middle.
1,It is good for you to take exercise.
1,"It seemed a little too quiet heading into Seth Rogen's third chance to host Saturday Night Live, but no matter, because Rogen delivered one of the best episodes in recent memory.  For some reason, Seth Rogen was almost an afterthought in the wake of Louis C.K."
1,It was a really good Monday for being a Saturday.
1,It was merely a reminder to be respectful of other cultures.
1,It would have been a better night if the guys next to us weren't in the splash zone.
1,"It's a statement about where we are in America, about our dueling values systems, about the Republicans versus the Democrats, about the so-called entitled 47% versus the remaining 53% who are equally but differently entitled."
1,It's been hard on them.
1,It's not possible to convince a monkey to give you a banana by promising it infinite bananas when they die.
1,Jeanne wished she has chosen the red button.
1,"Journalists are not allowed to interview clients once admitted, but Ernie says it’s likely she was placed in the Josephine Recovery Center, Restoration’s 16-bed crisis residential and respite facility for men and women, which is focused on providing critical coping skills to sustain functioning and reintegrate into the community."
1,"Katz, of the University of Chicago and Harvard, respectively, studied the wages of a group of graduates from the Booth School of Business of the University of Chicago between 1990 and 2006."
1,Maria usually goes to school on bike.
1,"Of course, voters are terrible at explaining why they vote the way they vote, so these responses should be taken with a generous dash of salt."
1,Operation Sea Lion was the German code name for the planned invasion of Britain.
1,"Pennsylvania has been reliably, if moderately, Democratic territory for some time, and the incumbent Casey was thought to be safe."
1,"Perhaps a better song would have been ""The Battle Hymn of the Republic."""
1,Potato wedges probably are not best for relationships.
1,Read the full story at Download Squad.
1,"Researchers said the southeastern United States, from Texas to Florida, is “highly suitable for transmission,” especially as temperatures rise in the summertime."
1,Separation anxiety is what happens when you can't find your phone.
